Gene ID,AO1,AO2,B1,B2
NVE12990,25,37,38,36
NVE12991,10261,8556,10963,8793
NVE12993,269,298,455,440
NVE12994,460,449,522,469
NVE12995,10,17,13,28
NVE12996,136,143,54,59
NVE12997,14,5,10,8
NVE12998,31,33,61,49
NVE12999,45,49,75,64
NVE13000,160,150,159,113
NVE13001,42,28,49,24
NVE13002,135,92,309,194
NVE13003,331,320,479,367
NVE13004,24,17,16,22
NVE13005,80,106,89,75
NVE13006,28,11,8,9
NVE13007,1,0,0,0
NVE13008,121,139,100,91
NVE13009,367,384,525,435
NVE13010,830,768,938,772
NVE13011,86,85,66,51
NVE13012,9,5,6,10
NVE13013,2,0,1,0
NVE13014,429,374,519,493
NVE13015,2056,1890,1776,1512
NVE13016,290,265,338,292
NVE13017,221,216,178,173
NVE13018,53,35,40,42
NVE13019,111,115,117,107
NVE13020,75,94,114,76
NVE13021,19,29,43,35
NVE13022,561,354,257,267
NVE13023,51,66,108,82
NVE13024,289,273,244,241
NVE13025,34,38,36,26
NVE13026,11,17,27,30
NVE13027,301,281,276,222
NVE13028,9,15,18,19
NVE13029,54,59,94,82
NVE13030,56,44,68,31
NVE13032,879,900,1245,1004
NVE13033,101,73,73,84
NVE13034,8,1,2,2
NVE13035,58,53,75,47
NVE13036,82,65,92,68
NVE13037,3,2,1,1
NVE13038,118,80,117,92
NVE13039,187,167,265,171
NVE13040,1021,1039,1368,1121
NVE13041,132,112,136,94
NVE13042,12,12,4,6
NVE13043,14,9,6,13
NVE13044,4,0,3,1
NVE13045,155,166,319,229
NVE13046,1,0,2,0
NVE16481,1356,1372,1665,1301
NVE16313,1040,1013,1107,957
NVE16326,510,517,347,361
NVE16342,244,244,244,203
NVE16354,198,155,205,168
NVE16387,7,7,16,12
NVE16402,345,323,463,368
NVE16421,29,25,49,53
NVE16449,29,18,81,44
NVE16461,666,582,1143,1035
NVE16472,33,30,33,36
NVE16493,41,26,36,34
NVE16528,345,307,432,381
NVE16283,0,3,3,2
NVE16284,1195,1090,1330,1188
NVE16285,0,2,1,3
NVE16286,428,427,466,406
NVE16287,49,33,53,59
NVE16288,16,15,14,9
NVE16289,38,172,1930,1567
NVE16290,105,104,163,112
NVE16291,5610,5577,6997,5938
NVE16292,10,13,9,16
NVE16293,24,10,28,28
NVE16294,52,66,81,67
NVE16295,131,113,98,92
NVE16296,159,187,202,175
NVE16297,3944,5725,1725,1661
NVE16298,202,213,144,140
NVE16299,411,339,468,379
NVE16300,410,368,464,395
NVE16301,5,1,5,1
NVE16302,1,6,2,3
NVE16303,262,258,513,463
NVE16304,175,145,138,87
NVE16305,89,80,71,63
NVE16306,2371,2249,1518,1099
NVE16307,1853,1535,1742,1471
NVE16308,53,60,75,63
NVE16309,52,48,47,54
NVE16310,50,62,68,67
NVE16311,18,21,35,28
NVE16312,58,59,66,50
NVE16314,414,450,304,310
NVE16315,560,498,383,408
NVE16316,5,3,9,6
NVE16317,18,10,41,20
NVE16318,40,35,59,49
NVE16319,37,33,37,35
NVE16321,236,240,303,278
NVE16322,127,121,147,105
NVE16323,155,172,204,176
NVE16324,172,183,115,117
NVE16325,100,116,63,73
NVE16327,81,72,79,82
NVE16328,94,99,138,142
NVE16329,112,110,96,97
NVE16330,123,140,181,139
NVE16331,97,80,80,96
NVE16332,3,2,7,2
NVE16333,6,4,6,2
NVE16334,83,85,108,81
NVE16335,99,126,150,144
NVE16336,265,253,221,166
NVE16337,49,61,47,43
NVE16338,9,5,11,15
NVE16339,204,207,164,132
NVE16340,168,208,145,108
NVE16341,97,91,73,81
NVE16343,127,128,177,179
NVE16344,58,43,38,41
NVE16345,343,257,409,369
NVE16346,7,5,5,4
NVE16347,152,152,81,82
NVE16348,1793,1624,1157,974
NVE16349,19,12,17,13
NVE16350,62,49,99,70
NVE16351,89,101,79,52
NVE16352,193,206,282,285
NVE16353,39,28,39,30
NVE16355,59,19,104,80
NVE16356,64,38,172,131
NVE16357,19,12,57,28
NVE16358,491,434,518,432
NVE16359,166,138,209,170
NVE16360,590,524,838,702
NVE16361,401,391,400,336
NVE16362,6,16,141,104
NVE16363,9,10,22,23
NVE16364,496,517,384,304
NVE16365,19,31,14,18
NVE16366,10,11,10,12
NVE16367,712,721,852,742
NVE16368,384,356,341,249
NVE16369,289,265,300,257
NVE16370,32,20,29,35
NVE16371,2,2,1,1
NVE16372,3,7,8,5
NVE16373,2438,2581,448,373
NVE16374,37,15,8,3
NVE16375,64,56,45,30
NVE16376,81,70,113,101
NVE16377,423,380,158,207
NVE16378,5,5,7,5
NVE16379,62,47,140,92
NVE16380,30,44,34,27
NVE16381,0,0,0,0
NVE16382,12,3,3,5
NVE16383,16,13,26,22
NVE16384,109,102,117,77
NVE16385,113,103,109,105
NVE16386,37,32,18,32
NVE16388,42,21,31,33
NVE16389,722,743,1079,926
NVE16390,1308,1300,1904,1553
NVE16391,579,532,723,748
NVE16392,4,14,12,13
NVE16393,114,107,130,128
NVE16394,163,170,294,208
NVE16395,447,422,373,321
NVE16396,542,478,605,525
NVE16397,1281,1184,1421,1355
NVE16398,265,262,399,379
NVE16399,1290,1187,1486,1172
NVE16400,35,40,30,24
NVE16401,97,90,144,101
NVE16403,291,252,285,238
NVE16404,219,185,213,164
NVE16405,828,849,877,818
NVE16406,473,441,515,439
NVE16407,3,1,2,4
NVE16408,95,76,92,76
NVE16409,50,32,65,45
NVE16410,335,289,389,335
NVE16411,4,3,1,2
NVE16412,259,226,215,211
NVE16413,129,92,104,115
NVE16414,57,46,92,72
NVE16415,208,247,199,193
NVE16416,56,41,62,60
NVE16417,281,305,348,237
NVE16418,171,160,179,185
NVE16419,1048,863,1047,823
NVE16420,107,66,85,96
NVE16422,730,618,906,705
NVE16423,190,163,287,261
NVE16424,1712,1774,1744,1439
NVE16425,861,575,505,470
NVE16426,165,142,128,120
NVE16427,35,28,36,32
NVE16428,35,23,45,39
NVE16429,1138,970,1136,1012
NVE16430,62,64,81,71
NVE16431,21,12,17,14
NVE16432,182,148,115,103
NVE16433,5,7,1,3
NVE16434,15,12,6,9
NVE16435,176,154,187,173
NVE16436,199,151,197,184
NVE16437,82,107,39,37
NVE16438,87,86,65,53
NVE16439,48,29,17,9
NVE16440,284,272,311,261
NVE16441,2,2,3,2
NVE16442,26,19,15,31
NVE16443,138,120,121,144
NVE16444,24,24,39,29
NVE16445,29,15,15,16
NVE16446,159,142,201,178
NVE16447,2792,2470,2787,2248
NVE16448,924,909,1934,1550
NVE16450,119,130,90,80
NVE16451,54,41,75,58
NVE16452,37,44,45,44
NVE16453,670,624,610,465
NVE16454,25,26,8,18
NVE16455,368,368,228,186
NVE16456,540,552,383,401
NVE16457,47,46,83,66
NVE16458,348,324,246,217
NVE16459,353,331,588,471
NVE16460,101,98,150,144
NVE16462,290,243,195,158
NVE16463,201,144,261,174
NVE16464,474,491,757,670
NVE16465,226,172,198,229
NVE16466,56,80,55,83
NVE16467,99,91,85,89
NVE16468,131,110,96,51
NVE16469,13,18,17,12
NVE16470,199,169,140,127
NVE16471,35,41,40,28
NVE16473,328,324,337,264
NVE16474,195,175,361,356
NVE16475,171,173,122,92
NVE16476,58,50,36,39
NVE16477,1211,1176,1241,984
NVE16478,2,1,1,1
NVE16479,50,55,63,36
NVE16480,5,4,3,4
NVE16482,76,67,82,60
NVE16483,3,1,6,3
NVE16484,589,611,743,673
NVE16485,201,224,237,184
NVE16486,225,209,162,153
NVE16487,357,337,177,196
NVE16488,1,0,0,2
NVE16489,40,32,51,45
NVE16490,71,60,112,87
NVE16491,27,18,33,33
NVE16492,8,7,11,6
NVE16494,80,85,120,100
NVE16495,4,1,5,0
NVE16496,26,12,69,42
NVE16497,153,113,160,135
NVE16498,697,671,1508,1103
NVE16499,130,109,261,205
NVE16500,1020,893,1848,1481
NVE16501,166,135,256,217
NVE16502,904,920,975,948
NVE16503,454,448,401,383
NVE16504,31,29,31,28
NVE16505,107,102,147,114
NVE16506,48,56,54,51
NVE16507,2264,2288,2684,2177
NVE16508,14,15,11,7
NVE16509,237,206,139,117
NVE16510,1,1,5,1
NVE16511,23,23,25,11
NVE16512,561,528,517,445
NVE16513,4,1,3,2
NVE16514,47,29,62,36
NVE16515,17,13,17,19
NVE16516,100,86,139,96
